date,amount,merchant,category,account,note
2024-01-03,42.50,Starbucks,Food,HDFC,morning coffee
2024-01-04,1200.00,Amazon,Shopping,HDFC,keyboard
2024-01-05,350.00,Zomato,Food,HDFC,dinner
2024-01-06,85.00,Uber,Transport,HDFC,airport
2024-01-07,2200.00,Reliance Digital,Shopping,HDFC,headphones
2024-01-08,55.00,Swiggy,Food,SBI,lunch
2024-01-09,900.00,BookMyShow,Entertainment,SBI,concert
2024-01-10,120.00,Ola,Transport,HDFC,office
2024-01-11,30.00,Chai Point,Food,SBI,tea
2024-01-12,4500.00,Myntra,Shopping,HDFC,clothes
2024-01-13,200.00,DMart,Groceries,SBI,weekly groceries
2024-01-14,75.00,Rapido,Transport,HDFC,bike taxi
2024-01-15,640.00,Zomato,Food,HDFC,party order
2024-01-16,15000.00,Apple,Shopping,HDFC,airpods
2024-01-17,300.00,Netflix,Entertainment,SBI,subscription
2024-01-18,110.00,Uber,Transport,HDFC,ride
2024-01-19,88.00,Starbucks,Food,SBI,brunch
2024-01-20,,Swiggy,Food,HDFC,forgot amount
2024-01-21,250.00,,Transport,HDFC,no merchant name
2024-01-22,42.50,Starbucks,Food,HDFC,duplicate row
